,Education,Marital_Status,Response,NumDealsPurchases,NumWebPurchases,NumStorePurchases,Gender,MSalary,Purchased,Age,Spent
91,PhD,Married,0,12,7,8,Female,41000,1,26,192
92,college,Single,0,1,1,2,Female,98000,0,74,8
93,Master,Together,0,1,2,8,Male,94000,0,67,359
94,Master,Single,0,1,1,3,Male,89000,0,37,10
95,PhD,Married,0,3,3,3,Female,79000,0,73,14
96,college,Married,0,1,2,3,Male,85000,1,74,11
97,college,Widow,0,5,7,6,Male,35000,1,25,26
98,college,Divorced,0,2,2,3,Male,99000,0,57,7
99,basic,Married,0,1,5,12,Female,33000,0,58,447
100,PhD,Married,0,2,5,7,Male,73000,1,76,92
101,basic,Single,0,2,2,3,Female,34000,1,24,5
102,PhD,Single,0,2,2,3,Male,23000,0,78,6
103,college,Together,0,2,9,11,Female,59000,1,60,183
104,PhD,Married,0,1,6,6,Female,25000,0,70,276
105,college,Married,1,1,3,5,Male,81000,1,64,690
106,highschool,Together,0,1,1,3,Female,70000,0,35,6
107,college,Married,0,4,4,4,Female,76000,0,26,32
108,college,Married,0,4,6,12,Male,95000,1,44,271
109,college,Single,0,2,3,3,Male,90000,1,46,31
110,Master,Married,0,1,5,4,Male,88000,1,39,106
111,college,Together,0,1,6,11,Male,20000,1,43,292
112,PhD,Single,1,1,7,5,Female,33000,1,56,311
113,Master,Together,0,3,8,8,Female,76000,0,35,21
114,college,Single,1,1,6,11,Male,25000,0,66,125
115,PhD,Married,0,5,6,6,Male,88000,1,51,101
116,college,Single,0,2,2,3,Female,77000,1,55,21
117,college,Married,0,0,4,5,Male,96000,1,56,812
118,basic,Married,0,5,9,5,Female,71000,1,25,94
119,basic,Together,0,2,1,3,Male,40000,0,61,25
120,college,Together,0,2,2,3,Female,30000,0,27,7
121,Master,Together,0,4,6,10,Female,22000,0,69,133
122,Master,Single,1,3,2,3,Male,39000,0,56,29
123,Master,Married,0,2,1,3,Female,86000,0,71,7
124,college,Divorced,0,1,1,3,Male,26000,1,47,14
125,college,Single,1,0,6,13,Male,66000,1,28,102
126,basic,Together,0,2,3,7,Female,87000,1,26,124
127,college,Single,1,1,3,6,Male,36000,0,59,951
128,Master,Married,0,2,2,4,Male,72000,0,25,16
129,PhD,Married,0,3,6,7,Female,54000,0,57,27
130,PhD,Together,0,4,6,10,Male,59000,0,34,110
131,college,Married,0,5,5,5,Male,80000,0,40,73
132,Master,Alone,0,5,11,6,Female,33000,1,53,47
133,college,Married,0,1,7,9,Female,86000,0,41,189
134,college,Married,0,1,6,7,Male,78000,1,41,196
135,PhD,Married,0,5,5,5,Male,31000,0,19,33
136,PhD,Together,0,1,4,13,Male,21000,0,59,590
137,highschool,Divorced,0,2,1,3,Male,71000,0,69,3
138,PhD,Married,0,3,2,2,Male,54000,0,39,34
139,PhD,Alone,1,2,1,2,Female,52000,0,34,8
140,PhD,Divorced,0,2,2,3,Male,47000,1,62,12
141,Master,Single,0,1,5,12,Male,72000,0,38,921
142,Master,Together,1,2,3,7,Female,83000,1,38,232
143,college,Married,0,1,5,10,Male,71000,0,54,756
144,PhD,Single,0,3,8,9,Male,34000,0,59,132
145,college,Together,0,3,4,3,Female,53000,0,54,41
146,college,Married,0,3,3,6,Female,26000,0,46,141
147,college,Married,1,1,2,3,Female,22000,0,21,18
148,college,Together,0,1,1,2,Female,31000,1,41,10
149,basic,Married,0,7,4,4,Male,35000,1,55,90
150,Master,Married,0,1,2,4,Male,57000,1,24,29
151,Master,Married,0,1,4,7,Male,86000,0,41,78
152,college,Married,0,4,8,6,Male,35000,1,75,48
153,basic,Together,0,4,7,5,Female,81000,0,26,57
154,college,Alone,0,4,3,4,Male,36000,1,19,24
155,PhD,Together,0,2,8,11,Female,89000,1,54,57
156,college,Together,1,1,10,6,Male,55000,0,47,269
157,college,Single,0,3,6,5,Female,87000,1,53,69
158,college,Single,0,1,0,3,Female,46000,0,77,7
159,college,Together,0,1,1,6,Female,94000,0,69,57
160,college,Single,0,1,3,10,Female,27000,1,29,387
161,Master,Single,0,1,1,2,Male,33000,0,44,3
162,PhD,Married,0,2,10,9,Male,85000,0,69,249
163,college,Married,0,4,3,4,Male,53000,1,27,49
164,PhD,Divorced,0,1,5,10,Male,35000,0,23,240
165,PhD,Married,0,15,0,0,Male,47000,1,43,1582
166,college,Together,0,3,2,4,Male,31000,1,72,32
167,college,Divorced,0,1,6,4,Male,63000,1,64,98
168,college,Divorced,0,1,3,6,Male,56000,0,46,33
169,college,Single,0,1,3,7,Male,71000,0,18,305
170,college,Together,0,3,2,3,Female,57000,0,35,19
171,college,Together,0,2,1,3,Female,77000,1,43,10
172,college,Married,0,2,2,3,Female,56000,1,27,6
173,college,Married,0,1,3,3,Female,82000,1,70,24
174,PhD,Together,0,2,2,3,Male,48000,1,73,6
175,college,Single,0,1,2,2,Female,86000,0,22,12
176,PhD,Married,0,1,11,8,Male,66000,1,54,449
177,PhD,Married,1,1,9,5,Male,33000,0,37,119
178,PhD,Married,0,2,2,3,Male,50000,0,69,14
179,college,Together,0,1,0,3,Female,86000,0,40,5
180,basic,Married,0,1,5,12,Male,22000,0,19,447
181,PhD,Married,0,1,4,4,Male,26000,1,62,22
182,basic,Married,0,3,2,3,Female,26000,0,59,10
183,Master,Married,0,1,6,13,Male,22000,1,34,195
184,Master,Married,0,1,1,3,Male,1.00E+05,0,52,6
185,highschool,Married,0,1,2,3,Female,90000,0,69,7
186,college,Married,0,1,1,2,Male,20000,1,47,18
187,PhD,Single,0,2,1,4,Female,98000,0,41,2
188,college,Married,0,2,7,8,Female,31000,1,58,107
189,college,Married,0,1,4,9,Male,59000,0,71,537
190,PhD,Married,0,2,2,3,Female,81000,1,58,18
191,highschool,Together,0,1,1,2,Female,45000,1,45,10
192,PhD,Together,0,1,8,12,Male,67000,1,77,432
193,basic,Divorced,0,1,2,2,Female,55000,0,38,8
194,college,Married,0,2,3,3,Female,47000,1,58,21
195,college,Married,0,4,5,6,Male,25000,0,39,45
196,college,Married,0,2,1,2,Female,98000,0,29,10
197,Master,Married,0,1,7,12,Female,40000,0,22,106
198,college,Married,0,1,4,6,Female,68000,1,77,813
199,college,Married,0,1,5,5,Female,34000,0,41,482
200,PhD,Single,1,6,5,3,Female,68000,1,73,79
201,college,Divorced,0,3,8,7,Female,62000,0,39,34
202,college,Single,0,1,4,9,Male,20000,1,48,553
203,college,Divorced,0,3,11,9,Female,31000,0,30,337
204,PhD,Together,1,0,7,10,Male,78000,1,66,138
205,PhD,Single,0,2,1,3,Male,39000,1,34,13
206,Master,Single,1,1,0,2,Male,33000,0,38,1
207,college,Together,0,1,1,3,Male,39000,0,69,13
208,Master,Divorced,0,6,4,5,Male,50000,0,27,113
209,college,Married,0,1,2,3,Male,35000,1,57,7
210,college,Divorced,1,5,11,9,Female,32000,1,43,320
211,college,Together,0,5,3,6,Male,36000,1,67,68
212,college,Together,0,1,4,9,Female,74000,0,70,319
213,PhD,Married,0,8,5,5,Female,45000,0,73,30
214,Master,Together,0,10,7,8,Female,21000,0,60,59
215,college,Married,0,1,3,9,Male,21000,0,57,554
216,college,Married,0,6,8,5,Female,1.00E+05,1,66,171
217,basic,Single,0,1,1,2,Female,21000,0,21,4
218,Master,Married,0,1,8,6,Female,27000,0,50,417
219,Master,Widow,0,2,4,5,Male,34000,0,45,33
220,college,Together,0,2,11,11,Male,86000,0,74,162
221,basic,Together,0,1,1,4,Female,46000,1,71,25
222,college,Married,0,1,3,7,Male,26000,1,69,540
223,PhD,Together,0,2,6,11,Male,95000,1,43,154
224,PhD,Married,0,4,4,4,Female,77000,1,58,25
225,college,Divorced,0,5,9,12,Female,43000,0,47,207
226,college,Together,0,4,3,4,Female,98000,0,23,16
227,college,Together,0,2,8,4,Female,99000,1,44,79
228,college,Divorced,0,3,2,11,Male,94000,1,30,204
229,PhD,Married,0,1,3,8,Male,66000,0,40,740
230,PhD,Together,0,1,1,2,Female,40000,0,68,9
231,college,Single,1,9,5,8,Male,21000,0,21,137
232,basic,Divorced,0,1,6,4,Female,84000,0,67,184
233,college,Together,0,1,1,2,Male,86000,1,44,8
234,college,Single,0,1,1,3,Female,88000,1,49,5
235,PhD,Married,0,3,7,11,Male,20000,1,18,464
236,basic,Married,0,2,2,4,Female,64000,1,72,20
237,Master,Together,0,1,1,3,Male,56000,0,63,4
238,PhD,Single,0,1,5,11,Male,51000,1,42,124
239,college,Single,0,4,3,3,Male,31000,1,43,10
240,basic,Single,0,1,1,2,Male,70000,1,27,5
241,college,Widow,0,1,6,10,Male,47000,1,20,757
242,college,Together,0,2,6,4,Female,71000,0,60,276
243,college,Single,0,1,2,2,Female,54000,1,60,7
244,college,Married,1,1,3,9,Male,35000,0,60,503
245,college,Married,0,7,11,8,Male,96000,1,49,133
246,PhD,Married,0,2,1,3,Male,31000,0,25,5
247,college,Married,1,2,5,6,Female,99000,0,64,272
248,college,Married,0,2,9,6,Male,86000,0,40,179
249,PhD,Married,0,1,4,5,Female,88000,0,77,768
250,Master,Together,0,4,9,6,Female,93000,1,77,183
251,Master,Single,0,2,2,3,Female,78000,1,22,25
252,college,Single,0,2,1,3,Male,81000,1,46,7
253,college,Divorced,1,1,6,13,Male,85000,1,21,444
254,basic,Together,0,2,3,5,Male,91000,1,53,52
255,college,Together,0,5,4,11,Female,22000,0,51,353
256,PhD,Single,0,2,1,3,Female,92000,0,43,8
257,PhD,Together,0,3,8,5,Male,83000,0,64,118
258,college,Single,0,4,3,7,Male,33000,1,43,87
259,college,Single,0,4,2,4,Female,82000,0,52,2
260,PhD,Single,0,1,1,2,Male,59000,0,43,4
261,college,Divorced,1,2,1,2,Female,51000,1,30,8
262,PhD,Divorced,0,3,10,10,Male,42000,1,33,215
263,Master,Married,0,4,4,6,Female,61000,1,64,62
264,PhD,Married,0,1,1,2,Male,25000,0,48,6
265,Master,Together,1,6,5,4,Male,47000,0,21,71
266,Master,Married,0,4,3,3,Male,32000,0,66,22
267,college,Married,0,1,3,8,Male,84000,0,59,398
268,PhD,Married,1,4,3,2,Female,20000,1,74,35
269,college,Married,0,1,3,6,Male,93000,1,20,298
270,college,Together,0,2,2,2,Male,94000,0,36,19
271,college,Single,1,2,3,5,Female,60000,1,60,499
272,Master,Single,0,3,3,4,Male,55000,1,19,23
273,PhD,Together,0,2,4,4,Female,39000,1,75,43
274,college,Married,0,4,2,4,Female,72000,1,30,14
275,college,Divorced,0,3,2,4,Male,37000,1,73,40
276,PhD,Together,0,2,6,12,Female,82000,0,31,99
277,college,Single,1,2,7,10,Female,69000,0,64,224
278,Master,Together,0,1,3,5,Female,75000,0,46,396
279,PhD,Single,1,1,3,8,Female,93000,0,20,512
280,Master,Divorced,0,1,9,9,Male,37000,0,31,100
281,highschool,Married,0,3,3,4,Male,72000,0,56,9
282,college,Together,0,2,8,4,Female,35000,1,22,79
283,college,Together,0,2,4,6,Male,78000,0,60,38
284,PhD,Together,0,1,5,8,Male,41000,1,59,149
285,Master,Married,0,2,2,3,Male,28000,0,63,8
286,college,Married,0,1,3,2,Male,57000,0,37,20
287,college,Together,0,1,6,13,Female,84000,0,37,230
288,Master,Together,0,13,6,12,Male,88000,1,72,242
289,college,Widow,0,1,5,5,Female,53000,0,21,565
290,Master,Divorced,0,3,7,5,Male,75000,0,59,81
291,basic,Together,0,1,1,3,Female,99000,1,28,5
292,college,Together,0,3,3,3,Male,42000,1,62,56
293,college,Married,0,1,2,9,Male,46000,0,48,573
294,college,Together,0,3,3,3,Female,46000,1,77,22
295,college,Together,0,1,0,3,Female,96000,1,71,3
296,Master,Together,0,3,3,11,Female,62000,1,61,80
297,basic,Divorced,0,1,1,3,Male,58000,1,63,7
298,Master,Together,0,1,3,3,Female,59000,1,48,16
299,college,Single,0,1,2,6,Female,75000,0,31,263
300,PhD,Divorced,0,5,8,12,Male,52000,1,30,80
301,college,Divorced,0,4,3,3,Male,92000,1,49,12
302,basic,Together,0,1,9,9,Female,40000,0,61,154
303,PhD,Married,0,1,2,3,Female,55000,1,57,46
304,college,Single,0,3,5,4,Male,37000,1,50,93
305,college,Together,0,3,3,3,Female,81000,0,76,21
306,Master,Married,0,1,6,9,Female,34000,1,66,112
307,college,Widow,1,1,3,3,Male,31000,0,60,25
308,college,Single,0,1,2,10,Male,40000,1,59,400
309,Master,Married,0,1,8,6,Female,44000,0,43,27
310,Master,Together,0,1,4,4,Female,54000,0,71,46
311,college,Divorced,0,4,3,3,Male,73000,1,57,14
312,college,Married,0,2,2,3,Female,90000,0,54,8
313,college,Married,0,1,6,12,Female,57000,1,72,461
314,Master,Single,0,1,6,10,Female,68000,0,77,561
315,college,Married,0,6,3,6,Male,46000,0,42,28
316,Master,Together,0,2,2,3,Female,49000,0,71,7
317,college,Married,0,2,3,3,Female,27000,0,24,21
318,college,Single,0,2,4,6,Male,74000,1,50,128
319,college,Married,0,2,1,3,Female,77000,1,66,7
320,college,Single,0,6,2,10,Male,41000,0,25,172
321,college,Married,0,3,3,12,Male,85000,0,78,119
322,college,Married,0,1,1,2,Male,90000,0,51,7
323,PhD,Divorced,0,1,1,2,Male,50000,1,20,3
324,PhD,Divorced,0,5,10,5,Female,57000,1,27,353
325,college,Single,0,6,8,8,Female,74000,0,54,118
326,college,Married,0,1,4,5,Female,40000,1,70,275
327,PhD,Divorced,0,3,2,4,Male,22000,1,30,28
328,college,Married,0,1,1,3,Female,40000,1,31,11
329,PhD,Married,0,1,1,3,Female,47000,1,68,5
330,PhD,Single,0,4,3,4,Female,79000,0,32,59
331,college,Single,0,1,1,2,Female,49000,1,26,6
332,PhD,Single,0,1,1,3,Male,96000,0,61,15
333,PhD,Married,1,2,9,5,Male,26000,0,48,218
334,Master,Married,1,1,1,2,Female,42000,1,66,13
335,college,Together,0,2,2,3,Male,94000,1,43,9
336,college,Divorced,0,1,4,12,Female,53000,0,45,247
337,college,Divorced,1,1,11,6,Male,28000,0,32,293
338,college,Married,0,1,1,3,Male,34000,1,25,16
339,college,Together,1,1,7,8,Male,41000,1,52,570
340,PhD,Together,0,1,4,4,Male,65000,0,43,562
341,college,Single,0,1,4,11,Male,29000,1,55,832
342,college,Divorced,0,1,2,4,Male,44000,1,62,38
343,PhD,Married,0,3,4,11,Male,53000,0,27,45
344,PhD,Together,0,2,3,8,Male,99000,0,35,68
345,highschool,Together,1,1,1,2,Male,61000,1,30,7
346,college,Divorced,0,1,2,4,Female,96000,0,76,204
347,college,Married,0,2,1,3,Female,68000,0,66,9
348,college,Divorced,1,1,4,6,Female,39000,1,40,379
349,college,Widow,0,3,2,3,Male,60000,1,44,12
350,Master,Married,0,1,1,2,Female,67000,1,31,3
351,college,Married,0,4,6,9,Female,52000,0,20,255
352,college,Married,0,2,8,8,Male,91000,0,36,455
353,PhD,Single,1,3,4,5,Female,24000,1,60,514
354,college,Married,0,1,3,10,Male,52000,0,44,410
355,PhD,Single,0,5,11,5,Female,34000,1,51,217
356,college,Single,0,2,2,3,Male,40000,0,26,14
357,college,Married,0,1,2,4,Female,72000,0,43,11
358,PhD,Married,0,1,3,8,Male,60000,0,42,785
359,Master,Married,0,1,5,5,Female,39000,0,61,177
360,PhD,Together,0,2,4,4,Female,35000,0,43,69
361,college,Married,0,1,4,10,Male,69000,0,40,818
362,PhD,Widow,0,3,6,10,Female,60000,0,49,83
363,college,Married,0,3,2,4,Female,23000,1,23,10
364,PhD,Married,0,1,1,2,Female,55000,1,48,6
365,college,Married,0,7,6,6,Male,91000,0,74,160
366,college,Single,0,2,6,9,Female,71000,0,33,92
367,college,Married,0,1,4,11,Male,99000,0,48,815
368,college,Divorced,0,2,2,3,Male,29000,0,22,20
369,college,Together,0,1,4,8,Female,35000,1,18,549
370,PhD,Single,0,2,2,8,Male,23000,0,35,142
371,basic,Married,0,1,1,3,Male,85000,0,63,7
372,college,Married,0,6,5,4,Male,33000,1,20,45
373,Master,Single,0,1,1,2,Female,89000,0,63,6
374,college,Single,0,4,4,12,Female,25000,1,63,253
375,PhD,Single,1,3,3,3,Female,86000,1,22,22
376,Master,Single,0,4,3,2,Male,68000,0,58,27
377,college,Single,1,1,1,2,Male,76000,1,62,15
378,college,Single,0,1,1,3,Female,57000,0,33,14
379,PhD,Together,0,2,3,10,Female,67000,0,35,97
380,college,Single,0,1,1,3,Male,40000,1,55,13
381,PhD,Married,0,1,1,2,Female,77000,0,24,5
382,college,Married,0,1,0,3,Male,51000,0,78,5
383,college,Widow,0,3,4,6,Female,75000,0,27,96
384,basic,Married,0,7,4,4,Male,89000,1,64,90
385,Master,Single,0,1,0,2,Female,89000,1,56,1
386,college,Single,0,3,1,2,Female,1.00E+05,0,43,7
387,Master,Together,1,3,7,4,Male,69000,1,72,53
388,college,Together,0,4,4,13,Male,88000,0,47,142
389,college,Together,0,1,2,3,Male,84000,0,54,11
390,PhD,Divorced,0,3,2,12,Female,81000,1,37,151
391,college,Together,0,0,5,8,Male,81000,1,41,786
392,Master,Together,0,2,3,6,Female,76000,1,30,61
393,college,Single,0,1,5,6,Male,90000,0,76,335
394,PhD,Married,0,1,4,4,Female,40000,0,41,63
395,Master,Married,0,3,5,12,Female,89000,0,52,113
396,PhD,Together,0,1,4,10,Female,47000,1,67,505
397,college,Married,0,4,3,4,Male,43000,1,74,42
398,college,Together,1,2,1,2,Male,37000,0,23,16
399,college,Single,0,1,1,3,Female,27000,0,29,6
400,basic,Together,1,4,2,3,Male,83000,1,59,9
401,basic,Divorced,0,4,2,3,Male,59000,0,72,25
402,college,Together,0,1,9,9,Male,47000,1,19,125
403,college,Single,0,5,2,5,Male,88000,1,57,61
404,college,Together,0,1,5,4,Male,85000,0,77,74
405,PhD,Single,1,9,6,6,Female,99000,0,38,26
406,college,Married,0,1,1,3,Female,90000,1,25,11
407,PhD,Single,1,3,2,4,Male,56000,1,28,26
408,PhD,Divorced,0,3,5,5,Female,43000,1,55,80
409,PhD,Together,0,1,3,2,Female,46000,1,42,24
410,college,Married,0,3,7,8,Female,28000,1,58,92
411,basic,Single,1,2,3,3,Female,98000,1,27,11
412,college,Married,0,4,4,6,Male,67000,1,20,221
413,PhD,Married,0,3,11,12,Female,71000,1,43,204
414,college,Single,0,3,5,7,Male,63000,1,35,54
415,college,Together,0,2,5,8,Female,35000,0,76,309
416,PhD,Married,0,1,3,10,Female,61000,0,69,591
417,basic,Together,0,3,2,3,Female,87000,0,76,9
418,college,Together,0,1,2,11,Male,70000,0,22,282
419,college,Single,1,1,7,9,Female,77000,0,57,108
420,Master,Married,0,9,10,8,Male,41000,0,38,100
421,PhD,Married,0,2,2,3,Male,94000,0,60,19
422,college,Married,0,1,2,3,Male,64000,0,54,11
423,Master,Together,0,1,1,2,Female,69000,1,28,2
424,Master,Married,1,1,3,8,Male,49000,0,38,103
425,PhD,Married,0,0,7,5,Female,47000,1,31,716
426,college,Married,0,1,1,2,Female,95000,1,21,7
427,college,Married,0,1,6,13,Male,34000,0,32,792
428,college,Married,0,2,2,10,Female,25000,0,63,297
429,basic,Together,0,2,1,4,Male,24000,0,47,11
430,college,Married,0,2,5,12,Male,70000,0,40,189
431,PhD,Single,1,1,2,9,Female,53000,1,34,349
432,college,Married,0,5,8,7,Female,38000,1,51,235
433,basic,Together,0,15,9,9,Male,89000,1,48,181
434,college,Married,0,1,8,13,Female,56000,0,51,400
435,college,Single,0,2,1,4,Female,71000,1,25,22
436,Master,Together,0,1,1,3,Male,43000,0,73,7
437,college,Divorced,0,3,6,12,Female,21000,0,35,271
438,Master,Widow,0,2,9,5,Female,73000,0,70,35
439,PhD,Married,0,3,2,4,Female,43000,0,52,15
440,basic,Married,0,2,2,3,Male,32000,1,24,5
441,college,Married,0,1,1,3,Male,67000,0,33,13
442,PhD,Married,0,2,2,5,Male,68000,1,76,31
443,college,Married,0,1,0,3,Female,73000,0,62,2
444,college,Single,0,1,1,3,Female,56000,0,68,14
445,basic,Married,0,1,1,3,Female,55000,1,61,3
446,college,Divorced,0,1,1,2,Male,78000,0,34,1
447,Master,Divorced,0,2,5,4,Male,40000,0,65,74
448,college,Single,0,1,4,7,Female,62000,1,29,537
449,college,Married,0,2,2,3,Male,73000,1,26,11
450,PhD,Married,0,2,3,9,Female,99000,0,48,82
451,college,Single,0,5,4,11,Female,87000,0,31,322
452,college,Married,0,3,8,7,Male,31000,0,65,161
453,Master,Single,0,1,2,4,Female,72000,0,20,30
454,basic,Married,0,2,4,8,Female,81000,1,63,106
455,college,Married,0,3,9,10,Male,68000,1,21,364
456,college,Married,0,7,5,6,Female,51000,1,48,103
457,basic,Single,1,1,7,9,Male,44000,0,23,974
458,Master,Married,1,4,4,5,Male,58000,0,44,72
459,college,Married,0,2,2,8,Male,98000,1,28,60
460,basic,Together,0,1,5,6,Female,29000,1,70,447
461,college,Married,1,4,2,8,Male,48000,1,30,257
462,college,Widow,0,1,3,11,Male,60000,1,64,253
463,PhD,Widow,0,2,3,3,Female,91000,0,35,6
464,college,Married,0,1,3,8,Female,91000,0,44,398
465,college,Married,0,2,4,3,Male,92000,1,22,39
466,PhD,Single,0,1,2,9,Female,42000,1,40,420
467,PhD,Together,1,1,5,5,Female,71000,0,38,413
468,college,Widow,0,1,1,2,Female,32000,0,38,5
469,college,Married,0,3,7,8,Female,76000,1,62,127
470,PhD,Together,0,3,7,12,Male,53000,1,49,166
471,college,Married,0,4,6,13,Male,88000,0,43,384
472,college,Married,1,1,1,2,Female,81000,0,34,8
473,PhD,Together,1,7,8,9,Female,56000,0,20,125
474,college,Married,0,2,1,3,Male,40000,0,63,13
475,college,Single,0,1,1,2,Female,60000,0,39,6
476,college,Married,0,4,8,11,Male,57000,0,53,193
477,PhD,Single,0,2,1,3,Male,97000,1,28,4
478,Master,Married,0,1,7,8,Female,27000,0,24,39
479,PhD,Married,0,4,6,7,Male,57000,1,49,39
480,college,Married,0,7,7,4,Male,38000,1,62,84
481,Master,Married,0,1,2,2,Male,1.00E+05,1,30,19
482,Master,Divorced,0,1,2,3,Female,53000,1,18,13
483,college,Single,1,2,6,2,Female,96000,1,42,35
484,college,Married,0,4,4,5,Male,71000,0,28,44
485,Master,Together,0,1,5,4,Female,20000,1,42,100
486,PhD,Divorced,1,1,5,13,Female,65000,0,33,114
487,Master,Together,0,2,3,7,Female,94000,0,58,232
488,college,Married,0,2,7,10,Female,82000,1,35,109
489,college,Married,0,1,1,3,Female,52000,0,69,5
490,basic,Widow,0,1,4,4,Female,42000,1,64,108
491,PhD,Together,0,2,2,12,Male,20000,1,46,594
492,college,Divorced,0,2,6,5,Male,89000,0,49,88
493,college,Together,0,1,3,13,Male,61000,0,37,389
494,Master,Single,0,4,2,3,Female,51000,0,28,69
495,PhD,Divorced,0,1,9,6,Male,25000,1,64,131
